Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
GPI		19q13.11	HOMDEL	4	1062	0.4%	No
TMEM185B		2q14.2	AMP	10	1174	0.9%	No
SHLD2P3		10q11.22	HOMDEL	3	886	0.3%	No
ANKDD1B		5q13.3	AMP	5	1062	0.5%	No
NMNAT1		1p36.22	HOMDEL	10	1481	0.7%	No
PUS7L		12q12	HOMDEL	2	1062	0.2%	No
SPRR2C		1q21.3	AMP	46	942	4.9%	No
TRGJ1		7p14.1	AMP	4	539	0.7%	No
SLC27A2		15q21.2	HOMDEL	3	1062	0.3%	No
PICK1		22q13.1	AMP	33	1537	2.1%	No
RN7SKP5		13q14.13	AMP	2	595	0.3%	No
GSTA4		6p12.2	HOMDEL	2	1062	0.2%	No
SATB2		2q33.1	AMP	6	1062	0.6%	No
CD4		12p13.31	HOMDEL	2	363	0.6%	No
LRRC19		9p21.2	HOMDEL	2	112	1.8%	No
TMEM150A		2p11.2	AMP	23	1537	1.5%	No
THRB		3p24.2	AMP	8	1425	0.6%	No
CD34		1q32.2	AMP	41	1537	2.7%	No
DHRS7B		17p11.2	AMP	14	1537	0.9%	No
FABP5		8q21.13	AMP	39	1537	2.5%	No
CDR1		Xq27.1	HOMDEL	3	651	0.5%	No
CYB5D1		17p13.1	HOMDEL	3	1062	0.3%	No
APOO		Xp22.11	AMP	6	1425	0.4%	No
SPRR2D		1q21.3	AMP	78	1537	5.1%	No
DAND5		19p13.13	AMP	83	1537	5.4%	No
TRGJ2		7p14.1	AMP	4	539	0.7%	No
DPH6		15q14	HOMDEL	11	1537	0.7%	No
DNAJC13		3q22.1	AMP	22	1537	1.4%	No
ZNF783		7q36.1	AMP	11	1174	0.9%	No
HACD1		10p12.33	AMP	19	1537	1.2%	No
FAM138A		1p36.33	AMP	7	1118	0.6%	No
SELENOS		15q26.3	AMP	18	1481	1.2%	No
FRG2DP		16p11.1	AMP	11	579	1.9%	No
GRIN3B		19p13.3	HOMDEL	5	1425	0.4%	No
SLC6A13		12p13.33	HOMDEL	7	1537	0.5%	No
SNORD115-39		15q11.2	HOMDEL	3	579	0.5%	No
TIPARP		3q25.31	AMP	47	1481	3.2%	Yes
THRSP		11q14.1	AMP	29	1537	1.9%	No
RETREG2		2q35	AMP	19	1425	1.3%	No
IL27RA		19p13.12	AMP	71	1537	4.6%	No
CD36		7q21.11	AMP	6	651	0.9%	Yes
PPP1R3A		7q31.1	AMP	2	595	0.3%	No
CT45A3		Xq26.3	HOMDEL	5	651	0.8%	No
LY6G6E		6p21.33	AMP	24	1537	1.6%	No
LPL		8p21.3	HOMDEL	45	1537	2.9%	No
APOA4		11q23.3	HOMDEL	12	1537	0.8%	No
SPRR2E		1q21.3	AMP	78	1537	5.1%	No
AKAP7		6q23.2	AMP	14	1481	0.9%	No
CUX2		12q24.11-q24.12	AMP	15	1537	1.0%	No
PPP1R3C		10q23.32	AMP	11	1425	0.8%	No
LYNX1		8q24.3	HOMDEL	3	1425	0.2%	No
CFAP61		20p11.23	AMP	5	1062	0.5%	No
OR9Q2		11q12.1	HOMDEL	5	1537	0.3%	No
NECAP1		12p13.31	AMP	13	1537	0.8%	No
SCARB1		12q24.31	AMP	21	1537	1.4%	No
GLRA3		4q34.1	AMP	2	1062	0.2%	No
RNA5SP56		1p12	HOMDEL	1	539	0.2%	No
NDNF		4q27	HOMDEL	9	1425	0.6%	No
SHISA8		22q13.2	AMP	7	1174	0.6%	No
SPRR2F		1q21.3	AMP	78	1537	5.1%	No
RN7SL738P		3q29	AMP	50	595	8.4%	No
TTC39B		9p22.3	AMP	16	1425	1.1%	No
USP2-AS1		11q23.3	HOMDEL	3	579	0.5%	No
OR6P1		1q23.1	AMP	51	1481	3.4%	No
LRP11		6q25.1	AMP	4	595	0.7%	No
ADAM12		10q26.2	HOMDEL	3	635	0.5%	No
DERL1		8q24.13	AMP	79	1537	5.1%	No
NICN1		3p21.31	HOMDEL	2	1062	0.2%	No
CNPPD1		2q35	AMP	19	1425	1.3%	No
SNAI3		16q24.2	AMP	5	1425	0.4%	No
ZMYM4		1p34.3	AMP	22	1537	1.4%	No
CD248		11q13.2	AMP	23	1537	1.5%	No
SIGLEC12		19q13.41	HOMDEL	2	1062	0.2%	No
DNAJB3		2q37.1	HOMDEL	1	539	0.2%	No
XKRX		Xq22.1	AMP	6	1425	0.4%	No
SPRR2G		1q21.3	AMP	78	1537	5.1%	No
ARMC3		10p12.2	HOMDEL	2	902	0.2%	No
IGHJ4		14q32.33	AMP	8	539	1.5%	No
BPNT1		1q41	AMP	46	1537	3.0%	No
FAM83G		17p11.2	HOMDEL	7	1174	0.6%	No
TUT4		1p32.3	AMP	10	1062	0.9%	No
DCLK1		13q13.3	AMP	4	1481	0.3%	No
RN7SL369P		14q24.1	AMP	2	595	0.3%	No
OTC		Xp11.4	HOMDEL	8	1425	0.6%	No
OR10X1		1q23.1	AMP	51	1481	3.4%	No
RPP40		6p25.1	HOMDEL	3	1425	0.2%	No
ERVK13-1		16p13.3	HOMDEL	1	523	0.2%	No
SOX5		12p12.1	HOMDEL	3	1118	0.3%	No
KCNV1		8q23.2	AMP	70	1537	4.6%	No
PPP1R3D		20q13.33	AMP	43	1537	2.8%	No
ALDH2		12q24.12	HOMDEL	1	539	0.2%	No
PPP1R15B		1q32.1	AMP	74	1537	4.8%	No
SH3BP5		3p25.1	AMP	12	1425	0.8%	No
PLXDC1		17q12	AMP	35	1537	2.3%	No
TTC32		2p24.1	HOMDEL	3	651	0.5%	No
SNF8		17q21.32	HOMDEL	2	1062	0.2%	No
CD177		19q13.31	AMP	19	1174	1.6%	No
RB1CC1		8q11.23	HOMDEL	3	475	0.6%	No
MIPOL1		14q13.3-q21.1	AMP	6	1425	0.4%	No
SPRR3		1q21.3	AMP	78	1537	5.1%	No
SPECC1L-ADORA2A		22q11.23	HOMDEL	1	523	0.2%	No
TMEM187		Xq28	AMP	28	1537	1.8%	No
TPP2		13q33.1	HOMDEL	1	56	1.8%	No
IGHJ5		14q32.33	AMP	8	539	1.5%	No
TUBB3		16q24.3	AMP	3	1425	0.2%	No
MCF2L-AS1		13q34	AMP	6	579	1.0%	No
PPAN-P2RY11		19p13.2	AMP	36	942	3.8%	No
CKM		19q13.32	HOMDEL	2	1062	0.2%	No
CXORF38		Xp11.4	HOMDEL	5	1425	0.4%	No
GGTLC3		22q11.21	HOMDEL	3	539	0.6%	No
STARD10		11q13.4	HOMDEL	1	363	0.3%	No
RN7SL199P		17q21.31	AMP	5	595	0.8%	No
OR10Z1		1q23.1	AMP	51	1481	3.4%	No
TMEM241		18q11.2	AMP	26	1537	1.7%	No
ZMYM6		1p34.3	AMP	26	1537	1.7%	No
RHBG		1q22	AMP	91	1537	5.9%	No
KNSTRN		15q15.1	HOMDEL	14	1537	0.9%	Yes
IGHJ6		14q32.33	AMP	8	539	1.5%	No
HSD3BP4		1p12	AMP	4	523	0.8%	No
CWF19L1		10q24.31	HOMDEL	6	1425	0.4%	No
SPTA1		1q23.1	AMP	51	1481	3.4%	No
MRTFA-AS1		22q13.1	AMP	8	523	1.5%	No
OTOG		11p15.1	HOMDEL	1	539	0.2%	No
PPP6R2		22q13.33	HOMDEL	46	1537	3.0%	No
TPK1		7q35	AMP	11	1537	0.7%	No
MAT1A		10q22.3	HOMDEL	4	1425	0.3%	No
GCFC2		2p12	HOMDEL	1	539	0.2%	No
ZMYM3		Xq13.1	AMP	10	1537	0.7%	Yes
RN7SKP186		6p21.33	AMP	10	595	1.7%	No
TXK		4p12	HOMDEL	4	1062	0.4%	No
CHST3		10q22.1	AMP	18	1537	1.2%	No
DYNLT4		1p34.1	AMP	25	1481	1.7%	No
LYRM4		6p25.1	AMP	24	1537	1.6%	No
STMP1		7q33	AMP	10	1537	0.7%	No
SPTAN1		9q34.11	AMP	12	1537	0.8%	No
LRRC10		12q15	AMP	11	1537	0.7%	No
FAM170B-AS1		10q11.23	HOMDEL	1	523	0.2%	No
ITGA3		17q21.33	HOMDEL	2	1062	0.2%	No
RASIP1		19q13.33	HOMDEL	4	1062	0.4%	No
MMP12		11q22.2	AMP	10	1537	0.7%	No
TRGV10		7p14.1	AMP	4	539	0.7%	No
MRPL16		11q12.1	HOMDEL	3	475	0.6%	No
TK1		17q25.3	AMP	30	1537	2.0%	No
DSC3		18q12.1	AMP	10	1537	0.7%	No
STMND1		6p22.3	AMP	17	1174	1.4%	No
ONECUT2		18q21.31	AMP	7	1425	0.5%	No
ZNF260		19q13.12	HOMDEL	2	1062	0.2%	No
BOK-AS1		2q37.3	HOMDEL	3	523	0.6%	No
CCL4L1		17q12 alternate reference locus	AMP	8	595	1.3%	No
ADCY10		1q24.2	AMP	53	1537	3.4%	No
ST7L		1p13.2	AMP	6	1118	0.5%	No
GNL3L		Xp11.22	HOMDEL	3	1425	0.2%	No
OR4K13		14q11.2	HOMDEL	1	539	0.2%	No
HUS1B		6p25.3	AMP	25	1537	1.6%	No
HLA-DRB1		6p21.32	AMP	13	942	1.4%	No
PTPRA		20p13	AMP	15	1425	1.1%	No
PPP2R2A		8p21.2	AMP	3	1425	0.2%	Yes
IAH1		2p25.1	HOMDEL	3	651	0.5%	No
CRY1		12q23.3	HOMDEL	1	539	0.2%	No
EMC9		14q12	AMP	10	1537	0.7%	No
TK2		16q21	AMP	7	1425	0.5%	No
MMP11		22q11.23	AMP	20	1537	1.3%	No
CCDC144NL		17p11.2	AMP	14	1537	0.9%	No
TRGV11		7p14.1	AMP	4	539	0.7%	No
MUC5AC		11p15.5	AMP	3	539	0.6%	No
BIRC8		19q13.42	AMP	19	1537	1.2%	No
LINC00850		Xq28	HOMDEL	2	579	0.3%	No
EFCAB11		14q32.11	HOMDEL	1	363	0.3%	No
DSCAM		21q22.2	AMP	15	1537	1.0%	No
FOXJ2		12p13.31	AMP	13	1537	0.8%	No
PPP2R2B		5q32	AMP	5	1174	0.4%	No
HLA-DRA		6p21.32	AMP	13	942	1.4%	No
SCHLAP1		2q31.3	AMP	3	579	0.5%	No
PTPRB		12q15	AMP	13	1537	0.8%	Yes
RNASE12		14q11.2	AMP	16	1425	1.1%	No
PLA2G10		16p13.12	HOMDEL	1	539	0.2%	No
NKAIN2		6q22.31	HOMDEL	5	1062	0.5%	No
DPP8		15q22.31	AMP	13	1537	0.8%	No
MUC4		3q29	AMP	115	1537	7.5%	No
SREBF1		17p11.2	AMP	18	1174	1.5%	No
FANCF		11p14.3	AMP	3	1062	0.3%	Yes
DSC1		18q12.1	AMP	10	1537	0.7%	No
STX8		17p13.1	AMP	11	1174	0.9%	No
RBP7		1p36.22	AMP	19	1537	1.2%	No
CATIP		2q35	HOMDEL	3	1425	0.2%	No
LAMTOR3		4q23	HOMDEL	4	1425	0.3%	No
PLAAT1		3q29	AMP	100	1537	6.5%	No
PRR22		19p13.3	AMP	1	363	0.3%	No
RPS6KA2		6q27	HOMDEL	8	1062	0.8%	No
WASHC3		12q23.2	AMP	2	1062	0.2%	No
HMCN2		9q34.11	HOMDEL	2	539	0.4%	No
TEX28		Xq28	HOMDEL	3	651	0.5%	No
PPP2R2C		4p16.1	AMP	17	1537	1.1%	No
COL1A1		17q21.33	HOMDEL	2	1062	0.2%	Yes
ZNF350-AS1		19q13.41	AMP	13	1174	1.1%	No
CCDC28B		1p35.2	AMP	26	1425	1.8%	No
PTPRC		1q31.3-q32.1	AMP	48	1425	3.4%	Yes
A1BG-AS1		19q13.43	HOMDEL	1	523	0.2%	No
TMEM9B-AS1		11p15.4	AMP	3	523	0.6%	No
SERINC4		15q15.3	HOMDEL	6	1425	0.4%	No
CITED2		6q24.1	AMP	7	1481	0.5%	No
IGHJ3		14q32.33	AMP	8	539	1.5%	No
ZCCHC2		18q21.33	AMP	5	902	0.6%	No
MUC3A		7q22.1	AMP	7	595	1.2%	No
SREBF2		22q13.2	AMP	9	1537	0.6%	No
HTATSF1P2		6p25.2	AMP	9	579	1.6%	No
EZR-AS1		6q25.3	HOMDEL	1	523	0.2%	No
DSC2		18q12.1	AMP	10	1537	0.7%	No
MATK		19p13.3	HOMDEL	15	1537	1.0%	No
FANCG		9p13.3	AMP	7	1425	0.5%	Yes
SLC25A27		6p12.3	AMP	13	1425	0.9%	No
TKT		3p21.1	AMP	17	1425	1.2%	No
SLCO1B7		12p12.2	AMP	14	1537	0.9%	No
PTPRD		9p24.1-p23	AMP	34	1734	2.0%	Yes
RN7SL806P		8p11.21	HOMDEL	4	595	0.7%	No
RAB25		1q22	AMP	141	1537	9.2%	No
RRP15		1q41	AMP	47	1537	3.1%	No
ICAM4		19p13.2	AMP	72	1537	4.7%	No
PPP2R3A		3q22.2-q22.3	AMP	29	1537	1.9%	No
NCAPH2		22q13.33	HOMDEL	46	1537	3.0%	No
HLA-DQB2		6p21.32	AMP	13	942	1.4%	No
TULP4		6q25.3	HOMDEL	2	1062	0.2%	No
NR4A3		9q22	HOMDEL	9	958	0.9%	Yes
GLT6D1		9q34.3	AMP	3	1062	0.3%	No
SRRM2		16p13.3	HOMDEL	3	1062	0.3%	No
VIM-AS1		10p13	HOMDEL	1	523	0.2%	No
SEMA3A		7q21.11	AMP	7	1014	0.7%	No
DCAF16		4p15.31	AMP	12	1481	0.8%	No
KMT2E-AS1		7q22.3	HOMDEL	1	363	0.3%	No
DRP2		Xq22.1	AMP	3	1062	0.3%	No
LINC02052		3q27.3	AMP	36	579	6.2%	No
BPTF		17q24.2	AMP	38	1537	2.5%	No
SRF		6p21.1	AMP	19	1481	1.3%	No
MUC2		11p15.5	AMP	6	1425	0.4%	No
DPF2		11q13.1	HOMDEL	1	363	0.3%	No
UBR1		15q15.2	HOMDEL	8	1425	0.6%	No
RFPL4B		6q21	HOMDEL	2	1062	0.2%	No
KCNJ14		19q13.33	HOMDEL	4	1062	0.4%	No
FREM3		4q31.21	AMP	8	1118	0.7%	No
ICAM5		19p13.2	AMP	72	1537	4.7%	No
ANKH		5p15.2	AMP	38	1425	2.7%	No
TLN2		15q22.2	HOMDEL	6	1062	0.6%	No
SLC16A1		1p13.2	HOMDEL	3	1425	0.2%	No
PHF23		17p13.1	AMP	13	1537	0.8%	No
ICAM3		19p13.2	AMP	73	1537	4.7%	No
PTPA		9q34.11	AMP	11	1481	0.7%	No
INO80		15q15.1	AMP	8	1118	0.7%	No
GPR1-AS		2q33.3	AMP	2	523	0.4%	No
SGK2		20q13.12	AMP	31	1537	2.0%	No
TCTA		3p21.31	AMP	8	1425	0.6%	No
HES1		3q29	HOMDEL	3	1425	0.2%	No
MUC1		1q22	AMP	114	1537	7.4%	Yes
SRM		1p36.22	AMP	26	1481	1.8%	No
BDP1		5q13.2	AMP	2	1062	0.2%	No
CTTNBP2		7q31.31	AMP	31	1481	2.1%	No
NUTM2A-AS1		10q23.2	HOMDEL	3	886	0.3%	No
TLE1		9q21.32	AMP	2	1062	0.2%	Yes
MARCHF5		10q23.32-q23.33	HOMDEL	7	1425	0.5%	No
ATN1		12p13.31	AMP	39	1537	2.5%	No
KIF20A		5q31.2	AMP	3	651	0.5%	No
OR9Q1		11q12.1	HOMDEL	5	1537	0.3%	No
EDC4		16q22.1	HOMDEL	14	1425	1.0%	No
PPP2R5A		1q32.3	AMP	49	1425	3.4%	No
SCX		8q24.3	HOMDEL	2	1062	0.2%	No
ICAM2		17q23.3	AMP	24	1481	1.6%	No
MBOAT7		19q13.42	AMP	20	1537	1.3%	No
ABHD16A		6p21.33	AMP	24	1537	1.6%	No
MROH9		1q24.3	AMP	46	1481	3.1%	No
PADI2		1p36.13	HOMDEL	9	1481	0.6%	No
WDR86-AS1		7q36.1	HOMDEL	2	579	0.3%	No
RAD50		5q31.1	AMP	2	112	1.8%	Yes
SAA3P		11p15.1	HOMDEL	1	539	0.2%	No
TIGIT		3q13.31	HOMDEL	3	1425	0.2%	No
LINC00092		9q22.32	HOMDEL	6	902	0.7%	No
FAH		15q25.1	AMP	13	1425	0.9%	No
TIAF1		17q11.2	AMP	41	1537	2.7%	No
CHST10		2q11.2	AMP	5	1425	0.4%	No
LRRC55		11q12.1	AMP	7	1174	0.6%	No
PRSS56		2q37.1	HOMDEL	1	539	0.2%	No
STUM		1q42.12	HOMDEL	3	902	0.3%	No
PPP2R5B		11q13.1	AMP	32	1537	2.1%	No
UTP6		17q11.2	AMP	18	1537	1.2%	No
OR51I1		11p15.4	HOMDEL	5	1062	0.5%	No
HSD17B8		6p21.32	AMP	13	1425	0.9%	No
ICAM1		19p13.2	AMP	72	1537	4.7%	No
LHX3		9q34.3	AMP	17	1425	1.2%	No
TMPRSS9		19p13.3	AMP	4	1425	0.3%	No
MALRD1		10p12.31	HOMDEL	5	1062	0.5%	No
EPX		17q22	AMP	23	1481	1.6%	No
BLACAT1		1q32.1	AMP	15	579	2.6%	No
PPDPF		20q13.33	AMP	64	1537	4.2%	No
FRMD7		Xq26.2	HOMDEL	5	651	0.8%	No
NUF2		1q23.3	HOMDEL	1	523	0.2%	Yes
CTSL3P		9q21.33	HOMDEL	6	902	0.7%	No
PTK2B		8p21.2	AMP	8	1537	0.5%	No
ARID3A		19p13.3	AMP	12	1425	0.8%	Yes
HOOK2		19p13.13	HOMDEL	1	539	0.2%	No
CRIP2		14q32.33	HOMDEL	3	475	0.6%	No
BRIP1		17q23.2	AMP	15	1481	1.0%	Yes
MAFF		22q13.1	HOMDEL	1	56	1.8%	No
TUBA1B		12q13.12	AMP	10	1425	0.7%	No
CASC15		6p22.3	AMP	18	1174	1.5%	No
MAPK12		22q13.33	HOMDEL	46	1537	3.0%	No
UXT		Xp11.23	HOMDEL	3	1425	0.2%	No
PSMD5		9q33.2	HOMDEL	5	902	0.6%	No
MTX1		1q22	AMP	112	1537	7.3%	No
SPATA7		14q31.3	AMP	4	1425	0.3%	No
PPP2R5C		14q32.31	AMP	15	1425	1.1%	No
SAMD4A		14q22.2	HOMDEL	2	1062	0.2%	No
BEX3		Xq22.2	AMP	3	1062	0.3%	No
DNAI1		9p13.3	AMP	14	1481	0.9%	No
AGMO		7p21.2	HOMDEL	5	1425	0.4%	No
NUP214		9q34.13	AMP	8	1062	0.8%	Yes
LRRC8E		19p13.2	AMP	20	1537	1.3%	No
SLC39A7		6p21.32	AMP	13	1425	0.9%	No
LYRM4		6p25.1	HOMDEL	1	363	0.3%	No
CHCHD7		8q12.1	AMP	58	1537	3.8%	Yes
ZNF781		19q13.12	HOMDEL	3	1425	0.2%	No
BCAS3		17q23.2	HOMDEL	2	1062	0.2%	No
SRMS		20q13.33	AMP	66	1537	4.3%	No
ICA1		7p21.3	AMP	13	1537	0.8%	No
NPIPA3		16p13.11	HOMDEL	1	539	0.2%	No
MAPKAPK5-AS1		12q24.12	AMP	4	886	0.5%	No
RN7SKP112		2p25.1	HOMDEL	2	595	0.3%	No
OR5AK4P		11q12.1	AMP	4	579	0.7%	No
HSPB2		11q23.1	HOMDEL	14	1537	0.9%	No
QRICH1		3p21.31	AMP	4	902	0.4%	No
CENPP		9q22.31	HOMDEL	6	902	0.7%	No
ESYT2		7q36.3	HOMDEL	7	1537	0.5%	No
GALNT13		2q23.3-q24.1	AMP	3	1062	0.3%	No
HACD4		9p21.3	AMP	15	1425	1.1%	No
LRRC18		10q11.23	HOMDEL	5	1425	0.4%	No
VPS13D		1p36.22-p36.21	HOMDEL	7	1481	0.5%	No
KRTAP2-4		17q21.2	AMP	7	942	0.7%	No
CTNND2		5p15.2	HOMDEL	4	651	0.6%	No
ALDH6A1		14q24.3	AMP	3	958	0.3%	No
PDCL2		4q12	AMP	3	902	0.3%	No
CD300A		17q25.1	AMP	33	1537	2.1%	No
ZNF513		2p23.3	AMP	35	1537	2.3%	No
MCCC2		5q13.2	HOMDEL	12	1425	0.8%	No
MASTL		10p12.1	AMP	8	1425	0.6%	No
NDUFA13		19p13.11	HOMDEL	1	539	0.2%	No
PPARGC1A		4p15.2	HOMDEL	5	1425	0.4%	No
RBMXL2		11p15.4	HOMDEL	3	1062	0.3%	No
FEM1B		15q23	AMP	10	1537	0.7%	No
ZNF233		19q13.31	AMP	21	1174	1.8%	No
KLF3		4p14	AMP	3	902	0.3%	Yes
MUC21		6p21.33	AMP	16	1537	1.0%	No
CCDC9B		15q15.1	AMP	4	1118	0.4%	No
RNF157		17q25.1	AMP	45	1537	2.9%	No
LINC01101		2q14.2	AMP	14	1174	1.2%	No
LYPLA2		1p36.11	AMP	7	1014	0.7%	No
PIGV		1p36.11	HOMDEL	13	1481	0.9%	No
PCDH9		13q21.32	HOMDEL	14	1537	0.9%	No
RN7SL121P		19p13.3	HOMDEL	5	595	0.8%	No
ASMTL		Xp22.3 and Yp11.3	HOMDEL	8	1118	0.7%	Yes
C12ORF4		12p13.32	HOMDEL	3	1425	0.2%	No
HBA2		16p13.3	HOMDEL	10	1174	0.9%	No
DAGLB		7p22.1	AMP	16	1537	1.0%	No
IRF9		14q12	AMP	10	1537	0.7%	No
PREB		2p23.3	AMP	30	1537	2.0%	No
DNAJC27		2p23.3	AMP	29	1537	1.9%	No
FAHD2A		2q11.1	AMP	8	1537	0.5%	No
LINC00592		12q13.13	AMP	15	1174	1.3%	No
TNFSF10		3q26	HOMDEL	2	1062	0.2%	No
LINC01235		9p23	AMP	5	523	1.0%	No
IGFL4		19q13.32	HOMDEL	3	1425	0.2%	No
LYG2		2q11.2	AMP	7	1062	0.7%	No
RAB2B		14q11.2	AMP	9	1425	0.6%	No
RN7SKP22		19q13.11	HOMDEL	2	539	0.4%	No
RN7SL167P		11q25	HOMDEL	8	595	1.3%	No
OR51C1P		11p15.4	HOMDEL	2	539	0.4%	No
CNN3-DT		1p21.3	AMP	2	523	0.4%	No
MMP19		12q13.2	AMP	21	1537	1.4%	No
PTPN9		15q24.2	AMP	18	1537	1.2%	No
RNA5SP312		10q11.22	AMP	1	539	0.2%	No
DBH		9q34.2	HOMDEL	4	902	0.4%	No
HIPK3		11p13	AMP	7	1425	0.5%	No
LINC02874		12q13.13	AMP	11	1174	0.9%	No
EXOSC3		9p13.2	AMP	7	1425	0.5%	No
ZNF571		19q13.12	AMP	61	1537	4.0%	No
DNAH7		2q32.3	AMP	8	1425	0.6%	No
FAM81A		15q22.2	HOMDEL	5	1062	0.5%	No
HLA-DRB6		6p21.32	AMP	13	942	1.4%	No
VLDLR-AS1		9p24.2	AMP	13	886	1.5%	No
MTO1		6q13	HOMDEL	2	1062	0.2%	No
SLC26A8		6p21.31	AMP	22	1537	1.4%	No
NEU4		2q37.3	HOMDEL	7	1425	0.5%	No
RGS9BP		19q13.11	HOMDEL	4	1062	0.4%	No
EXOC2		6p25.3	HOMDEL	1	523	0.2%	No
CENPS		1p36.22	HOMDEL	7	1481	0.5%	No
FPR2		19q13.41	HOMDEL	2	1062	0.2%	No
CCDC175		14q23.1	HOMDEL	1	539	0.2%	No
PTPN11		12q24.13	AMP	10	1537	0.7%	Yes
C8ORF76		8q24.13	AMP	82	1537	5.3%	No
VPS45		1q21.2	AMP	96	1537	6.2%	No
MMP17		12q24.33	AMP	11	1425	0.8%	No
RPF1		1p22.3	AMP	7	1118	0.6%	No
EMB		5q11.1	HOMDEL	9	1174	0.8%	No
RNA5SP199		5q33.2	AMP	1	539	0.2%	No
C1RL		12p13.31	AMP	32	1537	2.1%	No
PWRN1		15q11.2	HOMDEL	7	1174	0.6%	No
LINC01011		6p25.2	AMP	12	942	1.3%	No
TMEM215		9p21.1	AMP	8	1425	0.6%	No
SLC22A20P		11q13.1	HOMDEL	1	363	0.3%	No
MMP16		8q21.3	AMP	49	1537	3.2%	No
EXOSC1		10q24.1	AMP	13	1425	0.9%	No
HDAC2		6q21	HOMDEL	2	1062	0.2%	No
DSG2		18q12.1	AMP	10	1537	0.7%	No
TMEM200A		6q23.1	AMP	4	595	0.7%	No
MBD3L1		19p13.2	HOMDEL	5	1062	0.5%	No
C22ORF23		22q13.1	HOMDEL	1	56	1.8%	No
HLA-DRB5		6p21.32	AMP	13	942	1.4%	No
PRKCE		2p21	HOMDEL	2	1062	0.2%	No
SCAMP1-AS1		5q14.1	AMP	2	523	0.4%	No
CAPS		19p13.3	HOMDEL	11	1537	0.7%	No
RELL1		4p14	AMP	8	1537	0.5%	No
TRAJ45		14q11.2	HOMDEL	1	539	0.2%	No
TRAPPC3L		6q22.1	HOMDEL	2	1062	0.2%	No
PTPN12		7q11.23	AMP	12	1537	0.8%	No
MORN5		9q33.2	HOMDEL	3	902	0.3%	No
KRTAP4-3		17q21.2	AMP	7	942	0.7%	No
RAB9B		Xq22.2	HOMDEL	2	1062	0.2%	No
CNTLN		9p22.2	AMP	15	1425	1.1%	No
RN7SL628P		15q13.2	AMP	4	539	0.7%	No
CDC42EP4		17q25.1	AMP	30	1537	2.0%	No
GPR182		12q13.3	AMP	8	1425	0.6%	No
IER5		1q25.3	AMP	44	1481	3.0%	No
LINC01346		1p36.32	HOMDEL	2	523	0.4%	No
ATG10		5q14.1-q14.2	AMP	2	1062	0.2%	No
LINC01242		9p21.1	AMP	2	523	0.4%	No
CDC20B		5q11.2	HOMDEL	9	1425	0.6%	No
PRELID3B		20q13.32	AMP	43	1537	2.8%	No
PRR18		6q27	AMP	6	1014	0.6%	No
MMP15		16q21	AMP	5	1062	0.5%	No
CSNK1A1L		13q13.3	AMP	4	1481	0.3%	No
CCDC85A		2p16.1	AMP	11	1537	0.7%	No
NENF		1q32.3	HOMDEL	2	112	1.8%	No
COL6A5		3q22.1	AMP	19	1481	1.3%	No
KLK12		19q13.41	AMP	13	1537	0.8%	No
PTPN13		4q21.3	AMP	2	1062	0.2%	Yes
KRTAP4-2		17q21.2	AMP	7	942	0.7%	No
PRAC2		17q21.32	AMP	12	942	1.3%	No
MDS2		1p36	HOMDEL	7	1481	0.5%	Yes
LINC01085		4p15.33	HOMDEL	2	523	0.4%	No
FNBP1L		1p22.1	AMP	12	1425	0.8%	No
PPM1D		17q23.3	HOMDEL	2	1062	0.2%	Yes
RBPJL		20q13.12	AMP	51	1537	3.3%	No
RN7SL625P		7q11.23	AMP	2	595	0.3%	No
IGLJ4		22q11.22	HOMDEL	2	539	0.4%	No
SLC25A18		22q11.21	AMP	12	1537	0.8%	No
ENAM		4q13.3	AMP	9	1425	0.6%	No
ISOC1		5q23.3	AMP	6	1014	0.6%	No
RN7SL635P		2p14	AMP	6	595	1.0%	No
MUC7		4q13.3	AMP	9	1425	0.6%	No
MMP14		14q11.2	AMP	13	1425	0.9%	No
TRGV8		7p14.1	AMP	4	539	0.7%	No
RCAN1		21q22.12	AMP	7	1014	0.7%	No
KREMEN1		22q12.1	AMP	19	1537	1.2%	No
MYSM1		1p32.1	AMP	7	1174	0.6%	No
EXOSC2		9q34.12	HOMDEL	4	902	0.4%	No
PTPN14		1q32.3-q41	AMP	52	1537	3.4%	No
SPATS1		6p21.1	HOMDEL	2	1062	0.2%	No
UGT1A6		2q37.1	HOMDEL	1	539	0.2%	No
PLEK		2p14	HOMDEL	1	539	0.2%	No
RNH1		11p15.5	HOMDEL	14	1537	0.9%	No
TSPYL2		Xp11.22	HOMDEL	5	1425	0.4%	No
PALMD		1p21.2	AMP	9	1425	0.6%	No
IGF2BP2-AS1		3q27.2	HOMDEL	6	1425	0.4%	No
ACY1		3p21.2	HOMDEL	2	1062	0.2%	No
NKX2-1		14q13.3	AMP	3	886	0.3%	Yes
COPE		19p13.11	AMP	54	1537	3.5%	No
CCNDBP1		15q15.2	AMP	9	1174	0.8%	No
RFPL4AL1		19q13.42	AMP	18	1174	1.5%	No
TRAM1L1		4q26	HOMDEL	7	1425	0.5%	No
RIOK1		6p24.3	AMP	21	1481	1.4%	No
LINC01108		6p23	AMP	6	579	1.0%	No
RN7SL633P		22q12.2	AMP	12	595	2.0%	No
TJP1		15q13.1	AMP	9	1481	0.6%	No
